ID	NR_INWENT	NAZWA	REGION	GMINA	ROK_AKTUALIZACJI
847	G-2.28	Jaskinia w Sztolni Teresa na Miedziance	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
848	G-3.1	Jaskinia Zbójecka w Łagowie	Region Świętokrzyski	Łagów (gm. miejsko-wiejska)	2013
849	G-3.2	Lisia Dziura w Łagowie	Region Świętokrzyski	Łagów (gm. miejsko-wiejska)	2013
850	G-4.1	Jaskinia Ponurego	Region Świętokrzyski	Bodzentyn (gm. miejsko-wiejska)	2013
851	G-4.2	Jaskinia Dolomitowa	Region Świętokrzyski	Waśniów (gm. wiejska)	2013
852	G-5.1	Jaskinia Lubańska	Region Świętokrzyski	Chmielnik (gm. miejsko-wiejska)	2013
853	G-5.2	Schronisko Szklarków	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
854	G-5.3	Piekło pod Małogoszczem	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
855	G-5.4	Schronisko Dolne pod Starym Piekłem	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
856	G-5.5	Stare Piekło	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
857	G-5.6	Schronisko Górne nad Starym Piekłem	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
858	G-5.7	Schronisko Ciasne	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
859	G-5.8	Schronisko Pochyłe	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
860	G-5.9	Jaskinia Chalcedonitowa I	Region Świętokrzyski	Chęciny (gm. miejsko-wiejska)	2013
861	G-5.10	Jaskinia Chalcedonitowa II	Region Świętokrzyski	Małogoszcz (gm. miejsko-wiejska)	2013
862	G-5.11	Duża Dziurawa Studnia	Region Świętokrzyski	Małogoszcz (gm. miejsko-wiejska)	2013
863	G-5.12	Mała Dziurawa Studnia	Region Świętokrzyski	Małogoszcz (gm. miejsko-wiejska)	2013
870	G-6.1	Grota Świętej Rozalii	Region Świętokrzyski	Strawczyn (gm. wiejska)	2013
871	G-6.3	Schronisko w Zlepieńcach	Region Świętokrzyski	Ruda Maleniecka (gm. wiejska)	2013
872	G-6.4	Czarcie Wrota	Region Świętokrzyski	Końskie (gm. miejsko-wiejska)	2013
873	G-6.5	Schronisko Bardzo Niskie	Region Świętokrzyski	Końskie (gm. miejsko-wiejska)	2013
874	G-7.1	Schronisko pod Wodospadem	Region Świętokrzyski	Bodzechów (gm. wiejska)	2013
875	G-7.2	Okap Massalskiego	Region Świętokrzyski	Sadowie (gm. wiejska)	2013
876	G-7.3	Ślubny Schron	Region Świętokrzyski	Sadowie (gm. wiejska)	2013
877	G-7.4	Schronisko Lisa w Okopankach	Region Świętokrzyski	Sadowie (gm. wiejska)	2013
878	G-7.5	Płaska Jama I w Krynkach	Region Świętokrzyski	Brody (gm. wiejska)	2013
879	G-7.6	Płaska Jama II w Krynkach	Region Świętokrzyski	Brody (gm. wiejska)	2013
880	G-7.7	Jaskinia Świętej Barbary	Region Świętokrzyski	Brody (gm. wiejska)	2013
881	G-7.8	Grota Skrzatów	Region Świętokrzyski	Brody (gm. wiejska)	2013
882	G-7.9	Płaska Jama III w Krynkach	Region Świętokrzyski	Brody (gm. wiejska)	2013
883	G-7.10	Schronisko pod Drutami	Region Świętokrzyski	Brody (gm. wiejska)	2013
884	G-7.11	Dziura na Przestrzał	Region Świętokrzyski	Brody (gm. wiejska)	2013
885	G-7.12	Tunelik w Skałkach Adamowskich	Region Świętokrzyski	Brody (gm. wiejska)	2013
